Date;Difficulty;Number of Solutions;Equal to Official Solution;Run-Time;Number of Black Squares;Number of Blank Squares;Symmetrical
27/11/2023;Tough;1;True;40431000;22;49;False
03/06/2023;Moderate;1;True;49955000;20;47;False
17/06/2023;Diabolical;1;True;846425000;20;55;False
12/08/2023;Diabolical;1;True;69956000;20;56;False
22/01/2023;Moderate;1;True;12500000;20;49;False
06/08/2023;Moderate;1;True;13552000;24;45;False
06/04/2023;Diabolical;1;True;603700000;20;53;False
12/04/2023;Moderate;1;True;58135000;20;48;False
27/03/2023;Moderate;1;True;16993000;22;47;False
26/03/2023;Gentle;1;True;8999000;25;38;False
13/04/2023;Tough;1;True;142984000;24;50;False
07/04/2023;Gentle;1;True;10073000;24;42;False
23/01/2023;Tough;1;True;836644000;20;55;False
07/08/2023;Tough;1;True;45927000;25;51;False
13/08/2023;Gentle;1;True;12765000;21;47;False
16/06/2023;Tough;1;True;76473000;23;51;False
02/06/2023;Gentle;1;True;4027000;25;37;False
26/11/2023;Moderate;1;True;18765000;23;44;False
18/11/2023;Moderate;1;True;14425000;20;48;False
30/11/2023;Moderate;1;True;38777000;20;49;False
24/11/2023;Diabolical;1;True;274160000;22;55;False
14/06/2023;Gentle;1;True;12787000;26;43;False
09/01/2023;Gentle;1;True;6709000;24;40;False
05/08/2023;Gentle;1;True;8055000;23;45;False
28/06/2023;Tough;1;True;48428000;24;49;False
21/01/2023;Gentle;1;True;13146000;22;45;False
11/08/2023;Tough;1;True;38626000;23;52;False
18/03/2023;Gentle;1;True;7327000;24;41;False
11/04/2023;Gentle;1;True;5169000;27;38;False
05/04/2023;Tough;1;True;276709000;22;51;False
24/03/2023;Tough;1;True;171033000;22;55;False
30/03/2023;Gentle;1;True;17847000;20;47;False
31/03/2023;Moderate;1;True;9118000;20;47;False
25/03/2023;Diabolical;1;True;4536855000;20;55;False
04/04/2023;Moderate;1;True;10433000;21;45;False
19/03/2023;Moderate;1;True;8861000;22;45;False
10/04/2023;Diabolical;1;True;241891000;18;56;False
10/08/2023;Moderate;1;True;11940000;26;43;False
29/06/2023;Diabolical;1;True;38713000;20;55;False
04/08/2023;Diabolical;1;True;202920000;22;55;False
20/01/2023;Diabolical;1;True;314906000;20;53;False
08/01/2023;Diabolical;1;True;95427000;17;59;False
01/06/2023;Diabolical;1;True;4452873000;22;53;False
15/06/2023;Moderate;1;True;32823000;22;45;False
25/11/2023;Gentle;1;True;12711000;22;47;False
19/11/2023;Tough;1;True;968609000;21;52;False
21/11/2023;Gentle;1;True;7001000;24;40;False
09/11/2023;Gentle;1;True;15896000;20;48;False
24/01/2023;Diabolical;1;True;27689000;22;52;False
14/08/2023;Moderate;1;True;318948000;24;45;False
30/01/2023;Moderate;1;True;16139000;25;45;False
18/01/2023;Moderate;1;True;36105000;20;48;False
11/06/2023;Moderate;1;True;13828000;22;46;False
28/08/2023;Diabolical;1;True;1371275000;20;55;False
05/06/2023;Diabolical;1;True;5089625000;21;56;False
28/04/2023;Moderate;1;True;11734000;22;48;False
21/03/2023;Diabolical;1;True;884544000;23;52;False
14/04/2023;Diabolical;1;True;4787745000;17;60;False
09/03/2023;Diabolical;1;True;144784000;19;55;False
08/03/2023;Tough;1;True;179261000;24;49;False
01/04/2023;Tough;1;True;29209000;18;54;False
15/04/2023;Gentle;1;True;9100000;20;46;False
29/04/2023;Tough;1;True;104756000;24;50;False
20/03/2023;Tough;1;True;342896000;22;50;False
04/06/2023;Tough;1;True;172766000;19;53;False
29/08/2023;Gentle;1;True;9679000;26;39;False
19/01/2023;Tough;1;True;399593000;23;52;False
10/06/2023;Gentle;1;True;16125000;23;46;False
15/08/2023;Tough;1;True;48069000;20;54;False
31/01/2023;Tough;1;True;437147000;25;48;False
25/01/2023;Gentle;1;True;15199000;22;45;False
01/08/2023;Gentle;1;True;5018000;26;42;False
08/11/2023;Diabolical;1;True;450513000;23;54;False
20/11/2023;Diabolical;1;True;286951000;22;52;False
22/11/2023;Moderate;1;True;9966000;23;45;False
17/08/2023;Gentle;1;True;6444000;22;45;False
03/08/2023;Tough;1;True;44699000;20;54;False
27/01/2023;Tough;1;True;539508000;24;51;False
06/06/2023;Gentle;1;True;13258000;20;47;False
12/06/2023;Tough;1;True;288550000;20;56;False
22/03/2023;Gentle;1;True;9009000;20;47;False
03/04/2023;Gentle;1;True;19549000;20;48;False
17/04/2023;Tough;1;True;649782000;25;50;False
16/04/2023;Moderate;1;True;19248000;21;47;False
02/04/2023;Diabolical;1;True;236401000;16;55;False
23/03/2023;Moderate;1;True;49383000;26;43;False
13/06/2023;Diabolical;1;True;5890798000;18;56;False
07/06/2023;Moderate;1;True;10310000;23;45;False
02/08/2023;Moderate;1;True;52190000;20;49;False
26/01/2023;Moderate;1;True;17830000;22;46;False
16/08/2023;Diabolical;1;True;222884000;21;55;False
23/11/2023;Tough;1;True;512091000;24;52;False
04/02/2023;Tough;1;True;1132037000;20;52;False
19/05/2023;Tough;1;True;130131000;23;50;False
10/02/2023;Gentle;1;True;69757000;24;44;False
31/05/2023;Tough;1;True;34255000;25;51;False
25/05/2023;Gentle;1;True;15331000;20;48;False
15/12/2023;Gentle;1;True;5504000;23;41;False
01/12/2023;Tough;1;True;19862000;24;49;False
29/12/2023;Tough;1;True;81621000;24;50;False
10/10/2023;Tough;1;True;70783000;22;55;False
04/10/2023;Gentle;1;True;9955000;26;42;False
08/07/2023;Gentle;1;True;35595000;26;42;False
25/09/2023;Diabolical;1;True;628724000;18;58;False
19/09/2023;Moderate;1;True;9095000;22;45;False
20/07/2023;Gentle;1;True;31617000;26;43;False
21/07/2023;Moderate;1;True;9905000;22;47;False
18/09/2023;Gentle;1;True;6789000;24;41;False
30/09/2023;Gentle;1;True;32129000;21;46;False
24/09/2023;Tough;1;True;49184000;24;51;False
09/07/2023;Moderate;1;True;9687000;23;44;False
05/10/2023;Moderate;1;True;10314000;22;46;False
11/10/2023;Diabolical;1;True;888126000;25;51;False
28/12/2023;Moderate;1;True;8711000;22;45;False
14/12/2023;Diabolical;1;True;93417000;20;54;False
24/05/2023;Diabolical;1;True;3327144000;20;54;False
30/05/2023;Moderate;1;True;15743000;23;45;False
18/05/2023;Moderate;1;True;11180000;22;45;False
11/02/2023;Moderate;1;True;88799000;20;49;False
05/02/2023;Diabolical;1;True;3153522000;20;55;False
13/02/2023;Diabolical;1;True;4225430000;20;56;False
07/02/2023;Moderate;1;True;6903000;21;47;False
26/05/2023;Moderate;1;True;20468000;21;49;False
02/12/2023;Diabolical;1;True;4687348000;19;55;False
16/12/2023;Moderate;1;True;16698000;22;46;False
07/10/2023;Diabolical;1;True;497606000;21;56;False
13/10/2023;Moderate;1;True;9422000;25;43;False
26/09/2023;Gentle;1;True;14345000;24;40;False
23/07/2023;Diabolical;1;True;389016000;22;54;False
22/07/2023;Tough;1;True;39801000;20;51;False
27/09/2023;Moderate;1;True;14346000;23;45;False
12/10/2023;Gentle;1;True;15631000;23;45;False
06/10/2023;Tough;1;True;172598000;17;54;False
17/12/2023;Tough;1;True;258027000;17;55;False
03/12/2023;Gentle;1;True;28583000;22;48;False
27/05/2023;Tough;1;True;2352204000;18;56;False
06/02/2023;Gentle;1;True;5786000;26;39;False
12/02/2023;Tough;1;True;34166000;22;53;False
23/05/2023;Tough;1;True;419606000;24;49;False
16/02/2023;Tough;1;True;32814000;21;54;False
02/02/2023;Gentle;1;True;6102000;24;40;False
07/12/2023;Gentle;1;True;4119000;25;41;False
13/12/2023;Tough;1;True;131575000;21;53;False
02/10/2023;Tough;1;True;261620000;25;51;False
16/10/2023;Gentle;1;True;4863000;23;41;False
26/07/2023;Tough;1;True;88341000;20;57;False
23/09/2023;Moderate;1;True;16942000;22;47;False
22/09/2023;Gentle;1;True;4130000;26;38;False
27/07/2023;Diabolical;1;True;1128623000;22;53;False
17/10/2023;Moderate;1;True;8947000;20;45;False
03/10/2023;Diabolical;1;True;74052000;21;57;False
12/12/2023;Moderate;1;True;51624000;23;44;False
06/12/2023;Diabolical;1;True;230014000;25;53;False
03/02/2023;Moderate;1;True;13430000;24;45;False
17/02/2023;Diabolical;1;True;2732411000;22;55;False
22/05/2023;Moderate;1;True;72049000;24;46;False
20/05/2023;Diabolical;1;True;3001280000;20;57;False
08/05/2023;Diabolical;1;True;7046255000;16;57;False
01/02/2023;Diabolical;1;True;2511737000;24;54;False
15/02/2023;Moderate;1;True;18281000;23;45;False
10/12/2023;Diabolical;1;True;290566000;20;56;False
04/12/2023;Moderate;1;True;43816000;20;45;False
29/10/2023;Moderate;1;True;11257000;20;47;False
15/10/2023;Diabolical;1;True;75815000;21;54;False
01/10/2023;Moderate;1;True;8982000;21;46;False
31/07/2023;Diabolical;1;True;2507326000;19;57;False
25/07/2023;Moderate;1;True;18322000;22;48;False
08/09/2023;Tough;1;True;54550000;20;53;False
20/09/2023;Tough;1;True;34388000;24;52;False
